Name,Symbol
Delhivery Ltd,DELHIVERY
Divi's Laboratories Limited,DIVISLAB
Cesc Limited,CESC
Astral Poly Technik Limited,ASTRAL
Nbcc (india) Limited,NBCC
Bajaj Auto Limited,BAJAJ-AUTO
Supreme Industries Limited,SUPREMEIND
Ncc Limited,NCC
The Phoenix Mills Limited,PHOENIXLTD
Oberoi Realty Limited,OBEROIRLTY
Inox Wind Limited,INOXWIND
Bank Of India,BANKINDIA
Dlf Limited,DLF
Jubilant Foodworks Limited,JUBLFOOD
Central Depository Services Ltd,CDSL
Union Bank Of India,UNIONBANK
Aditya Birla Fashion And Retail Limited,ABFRL
Indian Bank,INDIANB
Tube Investments of India Ltd,TIINDIA
National Aluminium Company Limited,NATIONALUM
Titagarh Rail Systems Ltd,TITAGARH
Max Financial Services Limited,MFSL
Aarti Industries Limited,AARTIIND
Godrej Properties Limited,GODREJPROP
BSE (Bombay stock exchange),BSE
Jsw Energy Limited,JSWENERGY
Container Corporation Of India Limited,CONCOR
One 97 Communications Ltd,PAYTM
Srf Limited,SRF
Indian Railway Finance Corporation Ltd,IRFC
Punjab National Bank,PNB
Alkem Laboratories Limited,ALKEM
Macrotech Developers Ltd,LODHA
ICICI Lombard General Insurance Company Ltd,ICICIGI
Shriram Finance Ltd,SHRIRAMFIN
Max Healthcare Institute Ltd,MAXHEALTH
Gail (india) Limited,GAIL
HDFC Asset Management Company Ltd,HDFCAMC
Ashok Leyland Limited,ASHOKLEY
Computer Age Management Services Ltd,CAMS
Himachal Futuristic Communications Limited,HFCL
Piramal Enterprises Limited,PEL
The Federal Bank Limited,FEDERALBNK
Dabur India Limited,DABUR
Hindustan Zinc Limited,HINDZINC
Bank Of Baroda,BANKBARODA
Icici Prudential Life Insurance Company Limited,ICICIPRULI
Power Grid Corporation Of India Limited,POWERGRID
Granules India Limited,GRANULES
Tata Technologies Ltd,TATATECH
Apl Apollo Tubes Limited,APLAPOLLO
Siemens Limited,SIEMENS
Indraprastha Gas Limited,IGL
Torrent Pharmaceuticals Limited,TORNTPHARM
United Spirits Ltd,UNITDSPR
Tata Chemicals Limited,TATACHEM
Hero Motocorp Limited,HEROMOTOCO
Bajaj Finance Limited,BAJFINANCE
Mahanagar Gas Limited,MGL
Zydus Lifesciences Ltd,ZYDUSLIFE
Cholamandalam Investment And Finance Company Limited,CHOLAFIN
Sjvn Limited,SJVN
Colgate Palmolive (india) Limited,COLPAL
The Indian Hotels Company Limited,INDHOTEL
Laurus Labs Limited,LAURUSLABS
Tata Communications Limited,TATACOMM
Voltas Limited,VOLTAS
Biocon Limited,BIOCON
Ntpc Limited,NTPC
Tata Power Company Limited,TATAPOWER
Page Industries Limited,PAGEIND
Indian Renewable Energy Development Agency Ltd,IREDA
Tata Elxsi Limited,TATAELXSI
Indusind Bank Limited,INDUSINDBK
Havells India Limited,HAVELLS
Prestige Estates Projects Limited,PRESTIGE
Multi Commodity Exchange Of India Limited,MCX
Avenue Supermarts,DMART
Motherson Sumi Systems Limited,MOTHERSON
Aurobindo Pharma Limited,AUROPHARMA
Housing and Urban Development Corporation,HUDCO
Eicher Motors Limited,EICHERMOT
State Bank Of India,SBIN
Deepak Nitrite Limited,DEEPAKNTR
